"#name,fg,bg,hl-fg,hl-bg,cur-fg,cur-bg,ansi-0,ansi-1,ansi-2,ansi-3,ansi-4,ansi-5,ansi-6,ansi-7,ansi-8,ansi-9,ansi-10,ansi-11,ansi-12,ansi-13,ansi-14,ansi-15"
dark-pastel,#ffffff,#000000,#000000,#b5d5ff,#000000,#bbbbbb,#000000,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#bbbbbb,#555555,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#ffffff
dark-plus,#cccccc,#1e1e1e,#e0e0e0,#3a3d41,#1e1e1e,#ffffff,#000000,#cd3131,#0dbc79,#e5e510,#2472c8,#bc3fbc,#11a8cd,#e5e5e5,#666666,#f14c4c,#23d18b,#f5f543,#3b8eea,#d670d6,#29b8db,#e5e5e5
darkermatrix,#28380d,#070c0e,#00ff87,#0f191c,#00ff87,#373a26,#091013,#002e18,#6fa64c,#595900,#00cb6b,#412a4d,#125459,#002e19,#00381e,#00381d,#90d762,#e2e500,#00ff87,#412a4d,#176c73,#333333
darkmatrix,#3e5715,#070c0e,#00ff87,#0f191c,#070c0e,#9fa86e,#091013,#006536,#6fa64c,#7e8000,#2c9a84,#452d53,#114d53,#006536,#333333,#00733d,#90d762,#e2e500,#46d8b8,#4a3059,#12545a,#006536
darkside,#bababa,#222324,#bababa,#303333,#222324,#bbbbbb,#000000,#e8341c,#68c256,#f2d42c,#1c98e8,#8e69c9,#1c98e8,#bababa,#000000,#e05a4f,#77b869,#efd64b,#387cd3,#957bbe,#3d97e2,#bababa
dawnfox,#575279,#faf4ed,#575279,#d0d8d8,#faf4ed,#575279,#e5e9f0,#b4637a,#618774,#ea9d34,#286983,#907aa9,#56949f,#575279,#e6ebf3,#c26d85,#629f81,#eea846,#2d81a3,#9a80b9,#5ca7b4,#5f5695
dayfox,#3d2b5a,#f6f2ee,#3d2b5a,#e7d2be,#f6f2ee,#3d2b5a,#f2e9e1,#a5222f,#396847,#ac5402,#2848a9,#6e33ce,#287980,#352c24,#f4ece6,#b3434e,#577f63,#b86e28,#4863b6,#8452d5,#488d93,#534c45
deep,#cdcdcd,#090909,#ececec,#780002,#090909,#d0d0d0,#000000,#d70005,#1cd915,#d9bd26,#5665ff,#b052da,#50d2da,#e0e0e0,#535353,#fb0007,#22ff18,#fedc2b,#9fa9ff,#e09aff,#8df9ff,#ffffff
derp,#ffffff,#000000,#000000,#ffffff,#000000,#ffffff,#111111,#d36265,#aece91,#e7e18c,#5297cf,#963c59,#5e7175,#bebebe,#666666,#ef8171,#cfefb3,#fff796,#74b8ef,#b85e7b,#a3babf,#ffffff
desert,#ffffff,#333333,#000000,#b5d5ff,#000000,#00ff00,#4d4d4d,#ff2b2b,#98fb98,#f0e68c,#cd853f,#ffdead,#ffa0a0,#f5deb3,#555555,#ff5555,#55ff55,#ffff55,#87ceff,#ff55ff,#ffd700,#ffffff
detuned,#c7c7c7,#000000,#000000,#c7ddfc,#000000,#c7c7c7,#171717,#ea5386,#b3e153,#e4da81,#4192d3,#8f3ef6,#6cb4d5,#c7c7c7,#686868,#ea86ac,#c5e280,#fdf38f,#55bbf9,#b9a0f9,#7fd4fb,#ffffff
deus,#eaeaea,#2c323b,#2c323b,#eaeaea,#2c323b,#eaeaea,#242a32,#d54e53,#98c379,#e5c07b,#83a598,#c678dd,#70c0ba,#eaeaea,#666666,#ec3e45,#90c966,#edbf69,#73ba9f,#c858e9,#2bcec2,#ffffff
